,timewindow_actor,timewindow_director,timewindow_genre,star_actor_num,star_director_num,params,score
127,5,5,10,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4170315328520044
128,5,5,10,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4173508238809183
129,5,5,10,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4173645208650425
130,5,5,10,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4207906915209867
131,5,5,10,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4155977864227276
132,5,5,10,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.421092721919508
133,5,5,10,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4211170874910974
134,5,5,10,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4210786795867125
135,5,10,3,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.419372914593822
136,5,10,3,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4216608720941906
137,5,10,3,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4244050835918556
138,5,10,3,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4219958746024246
139,5,10,3,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4224469152071464
140,5,10,3,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4189394202183288
141,5,10,3,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4158613070015071
142,5,10,3,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4182588718967764
143,5,10,3,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4183074480244022
144,5,10,5,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4207523555158734
145,5,10,5,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4209501274655356
146,5,10,5,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.424735636199189
147,5,10,5,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4249259595386061
148,5,10,5,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4199122140722469
149,5,10,5,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4245275893622351
150,5,10,5,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.421418694831882
151,5,10,5,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4226870238249683
152,5,10,5,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4259521147471403
153,5,10,10,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4219895061385064
154,5,10,10,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4192794290951996
155,5,10,10,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4210601578191409
156,5,10,10,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.422362117731212
157,5,10,10,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4237115646992915
158,5,10,10,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.423271501972285
159,5,10,10,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4207351091910743
160,5,10,10,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4250408168158717
161,5,10,10,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4248067509873197
162,10,3,3,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4333406007321867
163,10,3,3,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4349159275006118
164,10,3,3,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4326928406012487
165,10,3,3,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4313908674677303
166,10,3,3,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4336584115792512
167,10,3,3,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4303647696297295
168,10,3,3,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4236035766650708
169,10,3,3,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4267535732252703
170,10,3,3,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4269927233064295
171,10,3,5,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4320187637066468
172,10,3,5,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4286996416056703
173,10,3,5,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4327169240123687
174,10,3,5,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4283928688677912
175,10,3,5,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4253861129921903
176,10,3,5,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4284469539444418
177,10,3,5,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4267329347430158
178,10,3,5,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.422927996176059
179,10,3,5,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.425567409949042
180,10,3,10,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4330371375288504
181,10,3,10,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4320275779280132
182,10,3,10,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4281215986704747
